type,country,state,activity,sex,age,fatal,time,species,year,month
Unprovoked,usa,hawaii,surfing/bodyboarding,m,36.0,N,evening,,2016,10
Unprovoked,australia,queensland,surfing/bodyboarding,m,,N,evening,,2016,10
Unprovoked,usa,hawaii,swimming,f,66.0,N,morning,,2016,10
Unprovoked,australia,new south wales,surfing/bodyboarding,m,25.0,N,morning,,2016,10
Unprovoked,usa,oregon,surfing/bodyboarding,m,29.0,N,afternoon,,2016,10
Unprovoked,mozambique,inhambane province,fishing,m,,Y,,,2016,10
Unprovoked,usa,florida,surfing/bodyboarding,m,21.0,N,morning,,2016,10
Unprovoked,usa,florida,surfing/bodyboarding,m,32.0,N,evening,,2016,10
Unprovoked,australia,new south wales,surfing/bodyboarding,m,17.0,N,morning,great white,2016,9
Unprovoked,usa,florida,surfing/bodyboarding,m,16.0,N,afternoon,,2016,9
Unprovoked,usa,florida,surfing/bodyboarding,m,36.0,N,morning,,2016,9
Unprovoked,usa,florida,surfing/bodyboarding,m,43.0,N,morning,,2016,9
Unprovoked,usa,california,surfing/bodyboarding,m,43.0,N,afternoon,,2016,9
Unprovoked,australia,victoria,surfing/bodyboarding,m,,N,,,2016,9
Unprovoked,australia,victoria,surfing/bodyboarding,m,,N,,,2016,9
Unprovoked,usa,florida,wading,m,65.0,N,afternoon,,2016,9
Unprovoked,usa,hawaii,swimming,f,51.0,N,afternoon,tiger,2016,9
Unprovoked,new caledonia,north province,surfing/bodyboarding,m,50.0,Y,afternoon,,2016,9
Unprovoked,usa,south carolina,surfing/bodyboarding,f,12.0,N,afternoon,,2016,9
Unprovoked,australia,western australia,surfing/bodyboarding,m,,N,afternoon,,2016,9
Unprovoked,usa,florida,surfing/bodyboarding,m,9.0,N,,,2016,9
Unprovoked,usa,california,dive fishing,m,22.0,N,,great white,2016,9
Unprovoked,usa,florida,surfing/bodyboarding,m,25.0,N,afternoon,bull,2016,8
Unprovoked,usa,florida,surfing/bodyboarding,m,37.0,N,afternoon,,2016,8
Unprovoked,reunion,nan,surfing/bodyboarding,m,20.0,N,evening,bull,2016,8
Unprovoked,usa,florida,wading,m,49.0,N,afternoon,,2016,8
Unprovoked,bahamas,new providence island,swimming,m,15.0,N,,,2016,8
Unprovoked,usa,hawaii,SUP/foiling,m,21.0,N,afternoon,tiger,2016,8
Unprovoked,usa,florida,surfing/bodyboarding,m,22.0,N,,blacktip,2016,8
Unprovoked,spain,alicante province,swimming,m,40.0,N,morning,blue,2016,7
Unprovoked,china,hong kong,swimming,m,72.0,N,,,2016,7
Unprovoked,australia,new south wales,surfing/bodyboarding,m,18.0,N,afternoon,,2016,7
Unprovoked,japan,kochi prefecture,surfing/bodyboarding,m,29.0,N,evening,,2016,7
Unprovoked,australia,tasmania,surfing/bodyboarding,m,36.0,N,,,2016,7
Unprovoked,bahamas,abaco islands,dive fishing,m,,N,,bull,2016,7
Unprovoked,usa,florida,surfing/bodyboarding,f,9.0,N,afternoon,,2016,7
Unprovoked,usa,florida,,f,11.0,N,morning,,2016,7
Unprovoked,usa,california,surfing/bodyboarding,m,61.0,N,evening,great white,2016,7
Unprovoked,usa,south carolina,swimming,m,,N,,,2016,7
Unprovoked,bahamas,nan,diving,m,,N,,lemon,2016,7
Unprovoked,spain,canary islands,wading,f,10.0,N,,,2016,7
Unprovoked,usa,florida,swimming,f,42.0,N,afternoon,,2016,7
Unprovoked,usa,south carolina,,m,35.0,N,afternoon,,2016,6
Unprovoked,usa,north carolina,surfing/bodyboarding,m,11.0,N,afternoon,,2016,6
Unprovoked,columbia,isla providencia,diving,m,59.0,N,morning,reef,2016,6
Unprovoked,south africa,western cape province,dive fishing,m,43.0,N,,great white,2016,6
Unprovoked,usa,south carolina,swimming,m,42.0,N,afternoon,,2016,6
Unprovoked,usa,florida,wading,m,,N,afternoon,,2016,6
Unprovoked,usa,hawaii,surfing/bodyboarding,m,,N,morning,,2016,6
Unprovoked,usa,texas,swimming,f,6.0,N,evening,,2016,6
Unprovoked,usa,north carolina,wading,m,19.0,N,afternoon,,2016,6
Unprovoked,usa,florida,swimming,m,64.0,N,morning,,2016,6
Unprovoked,australia,western australia,diving,f,60.0,Y,morning,,2016,6
Unprovoked,egypt,suez,swimming,m,23.0,N,morning,mako,2016,6
Unprovoked,new caledonia,nan,surfing/bodyboarding,m,,N,afternoon,,2016,6
Unprovoked,australia,western australia,surfing/bodyboarding,m,29.0,Y,afternoon,great white,2016,5
Unprovoked,usa,california,swimming,f,52.0,N,afternoon,,2016,5
Unprovoked,usa,florida,swimming,m,13.0,N,afternoon,,2016,5
Unprovoked,usa,florida,swimming,f,57.0,N,afternoon,,2016,5
Unprovoked,usa,florida,swimming,f,22.0,N,evening,bull,2016,5
Unprovoked,usa,florida,swimming,f,11.0,N,evening,,2016,5
Unprovoked,usa,florida,swimming,m,48.0,N,morning,blacktip,2016,5
Unprovoked,usa,hawaii,swimming,m,59.0,N,afternoon,,2016,5
Unprovoked,usa,louisiana,wading,f,33.0,N,,blacktip,2016,5
Unprovoked,indonesia,bali,surfing/bodyboarding,m,24.0,N,morning,bull,2016,4
Unprovoked,usa,florida,surfing/bodyboarding,m,15.0,N,evening,,2016,4
Unprovoked,south africa,western cape province,small watercraft,m,,N,morning,great white,2016,4
Unprovoked,australia,new south wales,swimming,m,12.0,N,afternoon,wobbegong,2016,4
Unprovoked,usa,florida,dive fishing,m,26.0,N,,bull,2016,4
Unprovoked,new caledonia,grand terre,wading,f,69.0,Y,morning,tiger,2016,4
Unprovoked,usa,florida,fishing,m,34.0,N,,,2016,4
Unprovoked,usa,hawaii,swimming,f,46.0,N,morning,,2016,3
Unprovoked,australia,new south wales,surfing/bodyboarding,m,22.0,N,evening,,2016,3
Unprovoked,australia,new south wales,surfing/bodyboarding,m,41.0,N,morning,,2016,3
Unprovoked,usa,florida,surfing/bodyboarding,m,19.0,N,afternoon,,2016,3
Unprovoked,fiji,vanua levu,diving,m,45.0,Y,afternoon,,2016,3
Unprovoked,usa,florida,,m,12.0,N,afternoon,,2016,3
Unprovoked,australia,south australia,fishing,m,,N,night,bronze whaler,2016,3
Unprovoked,brazil,santa catarina state,swimming,m,41.0,N,,tiger,2016,3
Unprovoked,new caledonia,south province,surfing/bodyboarding,m,21.0,N,evening,,2016,2
Unprovoked,new caledonia,south province,dive fishing,m,31.0,N,afternoon,,2016,2
Unprovoked,dominican republic,altagracia province,wading,f,,N,afternoon,,2016,2
Unprovoked,australia,queensland,wading,f,45.0,N,afternoon,,2016,2
Unprovoked,australia,new south wales,surfing/bodyboarding,m,40.0,N,afternoon,,2016,2
Unprovoked,brazil,balneário camboriú,swimming,m,41.0,N,,tiger,2016,2
Unprovoked,usa,hawaii,surfing/bodyboarding,m,,N,afternoon,reef,2016,1
Unprovoked,usa,hawaii,surfing/bodyboarding,f,15.0,N,morning,,2016,1
Unprovoked,usa,texas,dive fishing,m,,N,morning,bull,2016,1
Unprovoked,usa,hawaii,SUP/foiling,m,48.0,N,morning,tiger,2016,1
Unprovoked,australia,queensland,surfing/bodyboarding,m,,N,,wobbegong,2016,1
Unprovoked,australia,queensland,wading,m,11.0,N,afternoon,blacktip,2016,1
Unprovoked,australia,queensland,dive fishing,m,31.0,N,morning,,2016,1
Unprovoked,spain,grand canary island,swimming,f,38.0,N,,,2015,12
Unprovoked,usa,hawaii,SUP/foiling,m,71.0,N,morning,,2015,12
Unprovoked,australia,new south wales,surfing/bodyboarding,m,43.0,N,morning,bronze whaler,2015,12
Unprovoked,brazil,pernambuco,diving,m,32.0,N,,tiger,2015,12
Unprovoked,aruba,nan,adrift,m,58.0,Y,,,2015,12
Unprovoked,bahamas,nan,dive fishing,m,26.0,N,,bull,2015,12
Unprovoked,south africa,eastern cape province,wading,f,22.0,N,morning,,2015,12
Unprovoked,ecuador,galapagos islands,swimming,m,55.0,N,morning,galapagos,2015,11
Unprovoked,usa,florida,surfing/bodyboarding,m,,N,afternoon,,2015,11
Unprovoked,usa,florida,swimming,f,,N,morning,,2015,11
Unprovoked,usa,florida,surfing/bodyboarding,m,28.0,N,,spinner,2015,11
Unprovoked,australia,new south wales,surfing/bodyboarding,m,20.0,N,evening,bull,2015,11
Unprovoked,usa,hawaii,swimming,m,54.0,N,morning,,2015,11
Unprovoked,usa,florida,wading,f,28.0,N,afternoon,,2015,11
Unprovoked,mozambique,inhambane province,fishing,m,19.0,N,night,,2015,11
Unprovoked,australia,western australia,dive fishing,m,50.0,N,,,2015,10
Unprovoked,usa,hawaii,surfing/bodyboarding,m,10.0,N,afternoon,,2015,10
Unprovoked,south africa,western cape province,surfing/bodyboarding,m,42.0,N,afternoon,great white,2015,10
Unprovoked,usa,florida,surfing/bodyboarding,m,21.0,N,afternoon,,2015,10
Unprovoked,usa,florida,surfing/bodyboarding,m,21.0,N,afternoon,spinner,2015,10
Unprovoked,mozambique,inhambane province,fishing,f,35.0,Y,,,2015,10
Unprovoked,usa,hawaii,swimming,m,44.0,N,morning,tiger,2015,10
Unprovoked,usa,south carolina,surfing/bodyboarding,f,9.0,N,afternoon,,2015,10
Unprovoked,usa,hawaii,surfing/bodyboarding,m,25.0,N,morning,tiger,2015,10
Unprovoked,mozambique,inhambane province,fishing,m,,N,,,2015,10
Unprovoked,australia,western australia,surfing/bodyboarding,m,18.0,N,afternoon,,2015,10
Unprovoked,usa,florida,surfing/bodyboarding,m,22.0,N,afternoon,,2015,10
Unprovoked,usa,texas,wading,m,13.0,N,morning,,2015,10
Unprovoked,usa,florida,surfing/bodyboarding,m,14.0,N,morning,blacktip,2015,10
Unprovoked,usa,florida,surfing/bodyboarding,m,22.0,N,afternoon,blacktip,2015,9
Unprovoked,australia,queensland,swimming,f,7.0,N,afternoon,,2015,9
Unprovoked,usa,florida,surfing/bodyboarding,m,14.0,N,afternoon,,2015,9
Unprovoked,usa,hawaii,dive fishing,m,27.0,N,afternoon,tiger,2015,9
Unprovoked,usa,florida,wading,m,12.0,N,afternoon,,2015,9
Unprovoked,usa,florida,fishing,m,16.0,N,morning,,2015,9
Unprovoked,usa,florida,swimming,m,,N,evening,,2015,9
Unprovoked,usa,florida,surfing/bodyboarding,m,20.0,N,afternoon,,2015,9
Unprovoked,australia,new south wales,surfing/bodyboarding,m,42.0,N,morning,,2015,9
Unprovoked,usa,california,SUP/foiling,f,50.0,N,evening,great white,2015,9
Unprovoked,australia,new south wales,small watercraft,m,62.0,N,morning,great white,2015,9
Unprovoked,usa,south carolina,,m,,N,afternoon,,2015,9
Unprovoked,thailand,phuket,wading,f,37.0,N,morning,,2015,9
Unprovoked,fiji,nan,dive fishing,m,,N,,tiger,2015,9
Unprovoked,usa,california,surfing/bodyboarding,f,54.0,N,morning,great white,2015,8
Unprovoked,usa,california,surfing/bodyboarding,m,21.0,N,morning,great white,2015,8
Unprovoked,australia,new south wales,surfing/bodyboarding,m,38.0,N,evening,,2015,8
Unprovoked,usa,south carolina,surfing/bodyboarding,m,15.0,N,afternoon,,2015,8
Unprovoked,usa,florida,wading,f,10.0,N,afternoon,,2015,8
Unprovoked,australia,new south wales,surfing/bodyboarding,m,52.0,N,morning,great white,2015,7
Unprovoked,costa rica,guanacaste,surfing/bodyboarding,m,47.0,N,,,2015,7
Unprovoked,usa,florida,surfing/bodyboarding,m,25.0,N,evening,spinner,2015,7
Unprovoked,australia,tasmania,diving,m,46.0,Y,morning,great white,2015,7
Unprovoked,australia,victoria,surfing/bodyboarding,m,40.0,N,,bronze whaler,2015,7
Unprovoked,reunion,nan,surfing/bodyboarding,m,45.0,N,,bull,2015,7
Unprovoked,south africa,eastern cape province,surfing/bodyboarding,m,34.0,N,,great white,2015,7
Unprovoked,usa,california,surfing/bodyboarding,m,38.0,N,morning,great white,2015,7
Unprovoked,bahamas,grand bahama island,dive fishing,f,23.0,N,,,2015,7
Unprovoked,usa,north carolina,,m,32.0,N,evening,,2015,7
Unprovoked,australia,new south wales,surfing/bodyboarding,m,52.0,N,morning,great white,2015,7
Unprovoked,australia,new south wales,surfing/bodyboarding,m,32.0,N,morning,great white,2015,7
Unprovoked,usa,north carolina,swimming,m,68.0,N,afternoon,,2015,7
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,,,2015,6
Unprovoked,usa,south carolina,swimming,m,12.0,N,evening,,2015,6
Unprovoked,usa,north carolina,swimming,m,18.0,N,afternoon,bull,2015,6
Unprovoked,south africa,western cape province,surfing/bodyboarding,m,19.0,N,afternoon,great white,2015,6
Unprovoked,south africa,western cape province,surfing/bodyboarding,m,23.0,N,afternoon,great white,2015,6
Unprovoked,usa,south carolina,wading,m,43.0,N,morning,,2015,6
Unprovoked,usa,north carolina,surfing/bodyboarding,m,47.0,N,morning,,2015,6
Unprovoked,usa,north carolina,swimming,m,6.0,N,afternoon,tiger,2015,6
Unprovoked,usa,south carolina,wading,m,9.0,N,,,2015,6
Unprovoked,puerto rico,nan,dive fishing,m,36.0,N,morning,,2015,6
Unprovoked,usa,florida,swimming,m,10.0,N,afternoon,,2015,6
Unprovoked,usa,north carolina,wading,m,16.0,N,evening,bull,2015,6
Unprovoked,usa,north carolina,wading,f,12.0,N,afternoon,bull,2015,6
Unprovoked,usa,california,,f,,N,,mako,2015,6
Unprovoked,usa,north carolina,surfing/bodyboarding,f,13.0,N,afternoon,,2015,6
Unprovoked,usa,florida,swimming,m,11.0,N,morning,bull,2015,6
Unprovoked,usa,florida,rescuing,f,17.0,N,,nurse,2015,6
Unprovoked,reunion,le port,surfing/bodyboarding,m,47.0,N,afternoon,bull,2015,6
Unprovoked,usa,florida,wading,f,14.0,N,afternoon,,2015,5
Unprovoked,usa,florida,wading,f,19.0,N,afternoon,,2015,5
Unprovoked,french polynesia,rangiroa,dive fishing,m,19.0,N,morning,,2015,5
Unprovoked,usa,florida,swimming,f,13.0,N,,,2015,5
Unprovoked,usa,florida,surfing/bodyboarding,m,18.0,N,morning,,2015,5
Unprovoked,usa,south carolina,,m,30.0,N,afternoon,,2015,5
Unprovoked,new caledonia,nan,swimming,m,50.0,Y,,bull,2015,5
Unprovoked,usa,florida,swimming,m,,N,afternoon,,2015,5
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,afternoon,great white,2015,5
Unprovoked,south africa,eastern cape province,diving,m,29.0,N,afternoon,great white,2015,5
Unprovoked,usa,hawaii,swimming,f,65.0,Y,morning,,2015,4
Unprovoked,usa,florida,wading,m,63.0,N,afternoon,,2015,4
Unprovoked,australia,south australia,surfing/bodyboarding,m,26.0,N,morning,great white,2015,4
Unprovoked,australia,new south wales,small watercraft,m,71.0,N,morning,great white,2015,6
Unprovoked,usa,florida,,m,48.0,N,,blue,2015,4
Unprovoked,reunion,saint-gilles-les-bains,surfing/bodyboarding,m,13.0,Y,morning,bull,2015,4
Unprovoked,australia,new south wales,SUP/foiling,m,,N,morning,,2015,4
Unprovoked,usa,florida,dive fishing,m,70.0,N,afternoon,bull,2015,4
Unprovoked,egypt,red sea protectorate,swimming,m,52.0,Y,,mako,2015,3
Unprovoked,usa,hawaii,wading,m,58.0,N,morning,tiger,2015,3
Unprovoked,french polynesia,bora bora,,m,9.0,N,morning,blacktip,2015,3
Unprovoked,french polynesia,central tuamotu,wading,m,,N,,reef,2015,3
Unprovoked,reunion,d’étang-salé,swimming,f,22.0,Y,evening,tiger,2015,2
Unprovoked,australia,new south wales,surfing/bodyboarding,m,41.0,Y,morning,,2015,2
Unprovoked,australia,new south wales,surfing/bodyboarding,m,35.0,N,morning,,2015,2
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,,,2015,2
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,,,2015,1
Unprovoked,south africa,eastern cape province,swimming,m,24.0,N,afternoon,,2015,1
Unprovoked,australia,new south wales,,m,17.0,N,,,2015,1
Unprovoked,bahamas,abaco islands,swimming,f,34.0,N,afternoon,whitetip,2015,1
Unprovoked,south africa,eastern cape province,surfing/bodyboarding,m,15.0,N,morning,raggedtooth,2015,1
Unprovoked,usa,florida,,m,12.0,N,afternoon,,2015,1
Unprovoked,australia,new south wales,surfing/bodyboarding,,,N,morning,,2014,12
Unprovoked,australia,western australia,dive fishing,m,17.0,Y,morning,great white,2014,12
Unprovoked,usa,california,surfing/bodyboarding,m,50.0,N,morning,great white,2014,12
Unprovoked,japan,nan,diving,m,,N,,,2014,12
Unprovoked,australia,queensland,dive fishing,m,17.0,Y,morning,tiger,2014,12
Unprovoked,australia,western australia,surfing/bodyboarding,m,13.0,N,morning,,2014,11
Unprovoked,usa,florida,surfing/bodyboarding,m,44.0,N,afternoon,,2014,11
Unprovoked,usa,hawaii,swimming,m,53.0,N,afternoon,,2014,11
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,,2014,11
Unprovoked,usa,florida,surfing/bodyboarding,m,18.0,N,afternoon,,2014,11
Unprovoked,usa,hawaii,surfing/bodyboarding,f,34.0,N,morning,tiger,2014,10
Unprovoked,usa,hawaii,SUP/foiling,f,,N,morning,tiger,2014,10
Unprovoked,usa,hawaii,SUP/foiling,m,,N,morning,,2014,10
Unprovoked,australia,new south wales,surfing/bodyboarding,f,13.0,N,morning,,2014,10
Unprovoked,usa,south carolina,wading,f,7.0,N,,bull,2014,10
Unprovoked,usa,florida,surfing/bodyboarding,f,,N,afternoon,,2014,10
Unprovoked,usa,florida,surfing/bodyboarding,m,29.0,N,morning,blacktip,2014,10
Unprovoked,usa,florida,fishing,f,40.0,N,afternoon,,2014,10
Unprovoked,usa,florida,surfing/bodyboarding,m,15.0,N,morning,blacktip,2014,10
Unprovoked,usa,california,surfing/bodyboarding,m,28.0,N,evening,,2014,10
Unprovoked,australia,western australia,surfing/bodyboarding,m,23.0,N,morning,great white,2014,10
Unprovoked,usa,florida,surfing/bodyboarding,m,,N,morning,,2014,9
Unprovoked,french polynesia,moorea,fishing,f,36.0,N,,blacktip,2014,9
Unprovoked,australia,new south wales,swimming,m,50.0,Y,morning,,2014,9
Unprovoked,usa,alabama,fishing,m,43.0,N,afternoon,bull,2014,9
Unprovoked,spain,catalonia,swimming,m,16.0,N,,,2014,9
Unprovoked,usa,florida,surfing/bodyboarding,f,13.0,N,afternoon,spinner,2014,8
Unprovoked,usa,florida,surfing/bodyboarding,m,17.0,N,,spinner,2014,8
Unprovoked,spain,alicante,swimming,f,35.0,N,,,2014,8
Unprovoked,usa,north carolina,surfing/bodyboarding,m,29.0,N,,,2014,8
Unprovoked,usa,south carolina,wading,f,,N,afternoon,,2014,8
Unprovoked,usa,north carolina,SUP/foiling,,,N,,,2014,8
Unprovoked,australia,western australia,dive fishing,m,31.0,N,,reef,2014,8
Unprovoked,usa,florida,wading,m,,N,morning,bull,2014,8
Unprovoked,usa,florida,,m,26.0,N,,,2014,8
Unprovoked,bahamas,nan,dive fishing,m,,N,,bull,2014,8
Unprovoked,usa,florida,swimming,f,10.0,N,afternoon,,2014,8
Unprovoked,usa,louisiana,swimming,m,7.0,N,afternoon,bull,2014,8
Unprovoked,usa,south carolina,surfing/bodyboarding,m,10.0,N,afternoon,,2014,8
Unprovoked,usa,florida,swimming,f,45.0,N,,,2014,8
Unprovoked,usa,florida,surfing/bodyboarding,m,55.0,N,,,2014,8
Unprovoked,usa,florida,surfing/bodyboarding,m,8.0,N,afternoon,,2014,8
Unprovoked,south africa,western cape province,surfing/bodyboarding,m,20.0,N,afternoon,great white,2014,8
Unprovoked,usa,north carolina,swimming,m,,N,,tiger,2014,7
Unprovoked,reunion,saint-leu,surfing/bodyboarding,m,51.0,N,afternoon,,2014,7
Unprovoked,usa,florida,wading,m,8.0,N,afternoon,,2014,7
Unprovoked,spain,canary islands,wading,,,N,,,2014,7
Unprovoked,usa,hawaii,swimming,m,61.0,N,evening,,2014,7
Unprovoked,usa,florida,swimming,m,39.0,N,afternoon,,2014,7
Unprovoked,usa,north carolina,surfing/bodyboarding,m,,N,,,2014,7
Unprovoked,usa,florida,surfing/bodyboarding,m,14.0,N,afternoon,,2014,7
Unprovoked,usa,california,surfing/bodyboarding,m,,N,morning,,2014,7
Unprovoked,usa,south carolina,surfing/bodyboarding,m,19.0,N,evening,,2014,7
Unprovoked,bahamas,abaco islands,dive fishing,m,42.0,N,afternoon,reef,2014,6
Unprovoked,australia,south australia,surfing/bodyboarding,m,,N,evening,,2014,6
Unprovoked,australia,south australia,surfing/bodyboarding,m,15.0,N,evening,,2014,6
Unprovoked,brazil,nan,fishing,m,43.0,N,,,2014,6
Unprovoked,usa,delaware,wading,m,16.0,N,evening,,2014,6
Unprovoked,australia,south australia,surfing/bodyboarding,m,39.0,N,morning,bronze whaler,2014,6
Unprovoked,japan,atsumi peninsula,surfing/bodyboarding,m,43.0,N,afternoon,,2014,6
Unprovoked,usa,texas,wading,f,14.0,N,afternoon,,2014,6
Unprovoked,usa,florida,swimming,f,22.0,N,afternoon,bull,2014,6
Unprovoked,australia,new south wales,surfing/bodyboarding,m,,N,morning,,2014,6
Unprovoked,usa,palmyra atoll,,f,37.0,N,,reef,2014,6
Unprovoked,australia,queensland,adrift,f,29.0,N,,bull,2014,5
Unprovoked,france,wallis and futuna,diving,m,,N,morning,,2014,5
Unprovoked,usa,florida,surfing/bodyboarding,f,38.0,N,morning,,2014,5
Unprovoked,australia,south australia,surfing/bodyboarding,m,35.0,N,morning,great white,2014,5
Unprovoked,usa,florida,wading,f,44.0,N,morning,,2014,5
Unprovoked,usa,georgia,surfing/bodyboarding,m,12.0,N,,,2014,5
Unprovoked,usa,south carolina,swimming,f,40.0,N,afternoon,,2014,5
Unprovoked,south africa,western cape province,diving,,,N,,,2014,5
Unprovoked,usa,florida,surfing/bodyboarding,m,23.0,N,afternoon,,2014,5
Unprovoked,australia,western australia,dive fishing,m,,N,,reef,2014,4
Unprovoked,usa,florida,swimming,,42.0,N,afternoon,,2014,4
Unprovoked,usa,florida,wading,m,25.0,N,morning,,2014,4
Unprovoked,usa,florida,surfing/bodyboarding,m,13.0,N,afternoon,,2014,4
Unprovoked,usa,florida,surfing/bodyboarding,m,14.0,N,afternoon,,2014,4
Unprovoked,australia,new south wales,swimming,f,63.0,Y,morning,great white,2014,4
Unprovoked,south africa,eastern cape province,swimming,m,66.0,Y,afternoon,,2014,3
Unprovoked,usa,florida,surfing/bodyboarding,m,,N,,,2014,3
Unprovoked,usa,florida,surfing/bodyboarding,m,9.0,N,,,2014,3
Unprovoked,new caledonia,baie de sainte-marie,surfing/bodyboarding,m,42.0,N,evening,,2014,3
Unprovoked,australia,victoria,surfing/bodyboarding,m,42.0,N,morning,,2014,3
Unprovoked,australia,new south wales,swimming,m,,N,evening,wobbegong,2014,3
Unprovoked,usa,florida,surfing/bodyboarding,m,21.0,N,,spinner,2014,3
Unprovoked,french polynesia,society islands,surfing/bodyboarding,m,21.0,N,afternoon,reef,2014,2
Unprovoked,australia,south australia,dive fishing,m,28.0,Y,afternoon,,2014,2
Unprovoked,new zealand,south island,surfing/bodyboarding,m,28.0,N,evening,sevengill,2014,2
Unprovoked,new zealand,south island,dive fishing,m,24.0,N,,sevengill,2014,1
Unprovoked,usa,hawaii,diving,m,,N,,whitetip,2014,
Unprovoked,new caledonia,north province,swimming,m,37.0,N,morning,bull,2013,12
Unprovoked,south africa,western cape province,surfing/bodyboarding,m,19.0,N,morning,great white,2013,12
Unprovoked,kiribati,740 miles se of tarawa atoll,fishing,m,35.0,N,,,2013,12
Unprovoked,usa,hawaii,surfing/bodyboarding,m,29.0,N,morning,tiger,2013,12
Unprovoked,usa,florida,surfing/bodyboarding,m,30.0,N,afternoon,,2013,12
Unprovoked,australia,new south wales,surfing/bodyboarding,m,26.0,N,evening,wobbegong,2013,12
Unprovoked,usa,hawaii,small watercraft,m,57.0,Y,morning,,2013,12
Unprovoked,australia,new south wales,surfing/bodyboarding,m,19.0,Y,afternoon,tiger,2013,11
Unprovoked,usa,hawaii,swimming,f,58.0,N,afternoon,,2013,11
Unprovoked,australia,western australia,surfing/bodyboarding,m,35.0,Y,morning,great white,2013,11
Unprovoked,usa,oregon,surfing/bodyboarding,m,25.0,N,morning,great white,2013,11
Unprovoked,australia,western australia,surfing/bodyboarding,m,,N,afternoon,great white,2013,11
Unprovoked,usa,new jersey,surfing/bodyboarding,m,16.0,N,afternoon,,2013,11
Unprovoked,usa,florida,surfing/bodyboarding,m,,N,,,2013,11
Unprovoked,usa,hawaii,SUP/foiling,m,46.0,N,afternoon,tiger,2013,10
Unprovoked,australia,western australia,swimming,f,60.0,N,afternoon,reef,2013,10
Unprovoked,reunion,d’étang-salé,surfing/bodyboarding,m,24.0,N,afternoon,bull,2013,10
Unprovoked,australia,western australia,fishing,m,,N,morning,great white,2013,10
Unprovoked,australia,new south wales,surfing/bodyboarding,m,41.0,N,evening,wobbegong,2013,10
Unprovoked,usa,hawaii,diving,m,45.0,N,afternoon,reef,2013,10
Unprovoked,usa,hawaii,surfing/bodyboarding,m,25.0,N,morning,tiger,2013,10
Unprovoked,usa,florida,wading,m,6.0,N,afternoon,nurse,2013,10
Unprovoked,south africa,eastern cape province,swimming,m,74.0,Y,morning,great white,2013,10
Unprovoked,australia,western australia,diving,m,55.0,N,morning,great white,2013,10
Unprovoked,usa,california,surfing/bodyboarding,m,45.0,N,morning,great white,2013,10
Unprovoked,usa,florida,wading,m,12.0,N,afternoon,bull,2013,10
Unprovoked,usa,florida,surfing/bodyboarding,m,50.0,N,morning,,2013,9
Unprovoked,israel,southern district,diving,m,27.0,N,morning,,2013,9
Unprovoked,usa,florida,wading,m,7.0,N,morning,,2013,9
Unprovoked,usa,florida,swimming,m,45.0,N,afternoon,,2013,9
Unprovoked,usa,florida,surfing/bodyboarding,m,,N,morning,,2013,9
Unprovoked,usa,florida,swimming,m,21.0,N,afternoon,bull,2013,9
Unprovoked,usa,florida,surfing/bodyboarding,f,13.0,N,afternoon,,2013,9
Unprovoked,usa,florida,wading,m,25.0,N,afternoon,,2013,9
Unprovoked,usa,florida,swimming,m,17.0,N,afternoon,,2013,9
Unprovoked,bahamas,nan,,m,,N,,,2013,9
Unprovoked,usa,florida,fishing,m,9.0,N,afternoon,,2013,9
Unprovoked,bahamas,nan,dive fishing,m,,N,,blacktip,2013,8
Unprovoked,usa,california,swimming,m,,N,night,,2013,8
Unprovoked,usa,florida,surfing/bodyboarding,f,11.0,N,evening,,2013,8
Unprovoked,australia,new south wales,wading,m,,N,afternoon,,2013,8
Unprovoked,usa,hawaii,surfing/bodyboarding,m,16.0,N,afternoon,,2013,8
Unprovoked,usa,california,surfing/bodyboarding,f,,N,afternoon,great white,2013,8
Unprovoked,usa,hawaii,swimming,f,20.0,Y,afternoon,tiger,2013,8
Unprovoked,usa,hawaii,SUP/foiling,f,19.0,N,afternoon,,2013,8
Unprovoked,usa,south carolina,surfing/bodyboarding,m,10.0,N,evening,bull,2013,8
Unprovoked,south africa,nan,,m,,N,,blacktip,2013,8
Unprovoked,usa,florida,fishing,m,17.0,N,afternoon,bull,2013,8
Unprovoked,usa,hawaii,swimming,f,56.0,N,morning,,2013,7
Unprovoked,usa,south carolina,swimming,m,32.0,N,,,2013,7
Unprovoked,bahamas,abaco islands,dive fishing,m,40.0,N,afternoon,,2013,7
Unprovoked,mexico,quintana roo,wading,f,,N,morning,,2013,7
Unprovoked,usa,hawaii,surfing/bodyboarding,m,18.0,N,afternoon,tiger,2013,7
Unprovoked,bahamas,exuma islands,fishing,m,64.0,N,afternoon,nurse,2013,7
Unprovoked,bahamas,abaco islands,diving,m,50.0,N,morning,,2013,7
Unprovoked,brazil,pernambuco,swimming,f,18.0,Y,afternoon,,2013,7
Unprovoked,usa,alabama,wading,f,50.0,N,afternoon,,2013,7
Unprovoked,usa,florida,swimming,m,,N,,,2013,7
Unprovoked,reunion,saint-paul,swimming,f,15.0,Y,afternoon,,2013,7
